Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Gender,Age,Rank,Result,Medal,Wind,Attempt,Status,Country,Detection_Method,Source_URL
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 1 - سيدات تمهيدي - المباراة 1,Women,,2,8.0,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0120
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0124
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 6 - سيدات تمهيدي - المباراة 6,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0125
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 8 - سيدات تمهيدي - المباراة 8,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0127
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 9 - رجال تمهيدي - المباراة 9,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0128
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Women’s Preliminary,Match 13 - سيدات تمهيدي - المباراة 13,Women,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0132
Saudi Arabia (Team),Basketball 3x3,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 15 - رجال تمهيدي - المباراة 15,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-3x3/COM-2026-0134
Saudi Arabia (Team),Basketball 5x5,2026-05-15,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 1 - رجال تمهيدي - المباراة 1,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-5x5/COM-2026-0110
Saudi Arabia (Team),Basketball 5x5,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-5x5/COM-2026-0113
Saudi Arabia (Team),Basketball 5x5,2026-05-17,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/basketball-5x5/COM-2026-0114
Saudi Arabia (Team),Handball,2026-05-16,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 3 - رجال تمهيدي - المباراة 3,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0096
Saudi Arabia (Team),Handball,2026-05-18,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 6 - رجال تمهيدي - المباراة 6,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0099
Saudi Arabia (Team),Handball,2026-05-19,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 7 - رجال تمهيدي - المباراة 7,Men,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0100
Saudi Arabia (Team),Handball,2026-05-22,4th GCC Games Doha 2026,GCC Games,,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Men,,,0,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/handball/COM-2026-0103
